X,Y,ID,FSGName,TonsPerWeek,TYPE1,TYPE2,TYPE3,Address,Town,County,Zip,Phone,Website,Facebook,Active
507300.303655109,106026.651106194,1,BROOKHAVEN CATERER,0.05,Food Establishment,Caterer,,1470 ROUTE 44,WINDSOR,WINDSOR,05089,,,,1
508517.092486237,110238.699568204,2,VERMONT WHOLE FOODS CATERING,0.05,Food Establishment,Caterer,,153 PEMBROKE RD,WINDSOR,WINDSOR,05089,(802) 674-5273,,,1
508517.092486237,110238.699568204,3,JUNIPER HILL INN,0.735,Food Establishment,Restaurant,,153 PEMBROKE ROAD,WINDSOR,WINDSOR,05089,,http://juniperhillinn.com/,http://www.facebook.com/juniper.hill.inn,1
509053.226834364,108528.483279731,4,WINDSOR ELKS BPO LODGE 1665,1.68,Food Establishment,Restaurant,,156 MAIN ST,WINDSOR,WINDSOR,05089,8026749966,,,1
508685.55860496,111316.571731314,5,JOHN P LARKIN COUNTRY CLUB,0.945,Food Establishment,Restaurant,,1571 ROUTE 5 NORTH,WINDSOR,WINDSOR,05089,8026746491,,,1
506317.420927535,109836.322131845,6,GREEN MOUNTAIN FLOUR,0.05,Food Establishment,Caterer,,17 MOONRISE HILL,WINDSOR,WINDSOR,05089,,,,1
509061.496607626,108395.176478101,7,Cumberland Farms,0.18,Food Establishment,Caterer,,183 MAIN ST,WINDSOR,WINDSOR,05089,5082704407,http://www.cumberlandfarms.com/,,1
508818.676136384,108472.62304178,8,THIS N THAT TRADING POST TRADING AS TLC,0.05,Food Establishment,Caterer,,19 1/2 UNION ST,WINDSOR,WINDSOR,05089,(802) 674-6776,,,1
508818.676136384,108472.62304178,9,VITTLE STOP BBQ,0.05,Food Establishment,Caterer,,19 1/2 UNION STREET,WINDSOR,WINDSOR,05089,,,,1
508526.924901937,108861.091440225,10,WINDSOR HIGH SCHOOL,0.04795,Food Establishment,School,,19 ASCUTNEY ST,WINDSOR,WINDSOR,05089,8026746344,,,1
508767.124222613,110783.403678761,11,GRANNY O COOKIES,0.13,Food Establishment,Bakery,,194 HUNTINGTON DRIVE,WINDSOR,WINDSOR,05053,,,,1
508470.126830772,108994.337769621,12,GREEN MOUNTAIN ASIAN MARKET,0.18,Food Establishment,Grocery,,2 ASCUTNEY ST,WINDSOR,WINDSOR,05089,,,,1
509050.434552743,110606.020730204,13,STUBS & LAURAS,0.26,Food Establishment,Restaurant,,2066 ROUTE 5 N,WINDSOR,WINDSOR,05089,(802) 674-5715,,,1
509050.434552743,110606.020730204,14,FRAZERS PLACE,0.42,Food Establishment,Restaurant,,2066 VT RT 5 N,WINDSOR,WINDSOR,05030,8026749859,,,1
509498.076964298,108617.97440312,15,OUR NEIGHBORHOOD KITCHEN,0.05,Food Establishment,Caterer,,27 JARVIS ST,WINDSOR,WINDSOR,05089,(802) 345-8350,,,1
509343.034845065,109573.203760249,16,PRICE CHOPPER STORE #177,0.72,Food Establishment,Grocery,,2725 US ROUTE 5 N,WINDSOR,WINDSOR,05089,8026743470,http://www.pricechopper.com/,,1
507854.478021386,109693.511487252,18,MOUNT ASCUTNEY HOSPITAL & HEALTH CTR,0.3465,Food Establishment,Hospital,,289 COUNTY RD,WINDSOR,WINDSOR,05089,8026746711,,,1
507854.478021386,109693.511487252,19,MT ASCUTNEY HOSPITAL,0.18375,Hospital,,,289 COUNTY ROAD,WINDSOR,WINDSOR,05089,(802) 674-6711,,,1
507891.405948811,112693.219421738,20,AMERICAN CRAFTED SPIRITS INCORPORATED,0.2625,Food Establishment,Restaurant,,3 ARTISANS WAY,WINDSOR,WINDSOR,05031,3392220987,,,1
508394.61651464,111160.664385897,21,BOSTON DREAMS CATERING LLC,0.05,Food Establishment,Home-based Business,,321 TAYLOR DR,WINDSOR,WINDSOR,05089,0823592619,,,1
507956.286665811,112526.647412444,22,HARPOON BREWERY,1.8375,Food Establishment,Restaurant,,336 RUTH CARNEY DR,WINDSOR,WINDSOR,05089,8026745491,,,1
509295.005546735,109206.512448289,23,NIDAS,0.05,Food Establishment,Home-based Business,,35 N MAIN ST,WINDSOR,WINDSOR,05089,8026742301,,,1
509181.901911009,109095.258923538,24,HISTORIC HOMES OF RUNNEMEDE - EVARTS HOUSE,0.0735,Nursing/Assisted Living,Residential Facility,,40 MAXWELL PERKINS LANE,WINDSOR,WINDSOR,05089,(802) 674-6733,http://www.hhronline.org/EvartsHouse.htm,,1
508996.074320408,108917.250802535,25,DAVIS HOME,0.0945,Nursing/Assisted Living,Residential Facility,,45 STATE STREET,WINDSOR,WINDSOR,05089,805-674-5300,,,1
509222.411664847,109050.874913517,26,HISTORIC HOMES OF RUNNEMEDE-STOUGHTON HOUSE,0.16275,Nursing/Assisted Living,Residential Facility,,46 MAIN STREET,WINDSOR,WINDSOR,05089,,,,1
508298.49207169,103839.182825636,27,CEDAR HILL HEALTH CARE CENTER,0.20475,Nursing/Assisted Living,Residential Facility,,49 CEDAR HILL DRIVE,WINDSOR,WINDSOR,05089,(802) 674-6609,http://www.cedarhillccc.com/,,1
508298.49207169,103839.182825636,28,VICTORIAN HOUSE RESIDENCE AT CEDAR HILL,0.07875,Nursing/Assisted Living,Residential Facility,,49 CEDAR HILL DRIVE,WINDSOR,WINDSOR,05089,,,,1
510273.12898943,120262.32642124,29,MR G'S TWIN STATE DISCOUNT,0.72,Food Establishment,Grocery,,54 US ROUTE 5,WINDSOR,WINDSOR,05089,,,,1
505952.202965148,111213.610926517,30,SOUTHEAST STATE CORRECTIONAL FACILITY,0.525,Correctional Facility,,,546 STATE FARM ROAD,WINDSOR,WINDSOR,05089,,,,1
509262.952506933,108984.271517517,31,FLEMING OIL COMPANY,0.18,Food Establishment,Grocery,,55 MAIN ST,WINDSOR,WINDSOR,05089,(802) 674-2834,,,1
509157.934644762,108873.029570039,32,BOSTON DREAMS LLC,0.105,Food Establishment,Restaurant,,7 STATE ST,WINDSOR,WINDSOR,05089,8022304107,,,1
509190.234211642,108917.512897908,33,CLARAS CAFE,0.26,Food Establishment,Restaurant,,70 MAIN ST,WINDSOR,WINDSOR,05089,(802) 674-2542,,,1
509190.234211642,108917.512897908,34,CROW BAR & GRILL,0.26,Food Establishment,Restaurant,,70 MAIN ST,WINDSOR,WINDSOR,05089,8026744310,,https://www.facebook.com/pages/category/American-Restaurant/Crow-Bar-and-Grill-1452975738364372/,1
507899.647931735,112559.910357247,35,SUSTAINABLE FARMER THE,0.525,Food Establishment,Restaurant,,71 ARTISANS WAY,WINDSOR,WINDSOR,05089,,,,1
509270.522519229,109362.01649555,36,YUMMY YUMMY CHINESE RESTAURANT,0.441,Food Establishment,Restaurant,,74 MAIN ST,WINDSOR,WINDSOR,05089,8026746888,,,1
509157.979955755,108839.700129574,37,PIZZA CHEF OF WINDSOR,0.966,Food Establishment,Restaurant,,88 MAIN ST,WINDSOR,WINDSOR,05089,8026746861,http://www.pizzachef.com/,,1
508274.067554018,103950.25025777,38,VILLAGE AT CEDAR HILL,0.1155,Nursing/Assisted Living,Residential Facility,,92 CEDAR HILL DRIVE,WINDSOR,WINDSOR,05089,(802) 674-2254,,,1
507998.68647224,104049.90584723,39,MACLENNAN FARMS,0.18,Food Establishment,Grocery,Farmers' Market,RR 5,WINDSOR,WINDSOR,05089,,,,1
495684.505512858,116022.949693854,41,SOUTH WOODSTOCK COUNTRY STORE,0.1155,Food Establishment,Restaurant,,4800 SOUTH RD,WOODSTOCK,WINDSOR,05071,8023913099,,,1
496480.672270573,123999.473884791,42,WOODSTOCK THERAPEUTIC COMMUNITY RESIDENCE,0.042,Nursing/Assisted Living,Residential Facility,,1087 WOODSTOCK ROAD,WOODSTOCK,WINDSOR,05091,(802) 457-1845,,,1
498031.140444211,126287.519753612,43,MOUNT TOM FARMERS' MARKET,0.18,Food Establishment,Grocery,Farmers' Market,1206 VERMONT 12,WOODSTOCK,WINDSOR,05091,,http://www.mttomfarmersmarket.com/,,1
498474.596845076,124776.429715926,45,RED ROOSTER,0.26,Food Establishment,Restaurant,,14 THE GREEN,WOODSTOCK,WINDSOR,05091,(802) 457-1100,http://www.woodstockinn.com/Dining,,1
498474.596845076,124776.429715926,46,WOODSTOCK INN,3.15,Food Establishment,Lodging,,14 THE GREEN,WOODSTOCK,WINDSOR,05091,8024571100,,,1
498409.997890549,124643.12363142,47,WOODSTOCK ELEMENTARY SCHOOL,0.10057,Food Establishment,School,,15 SOUTH ST,WOODSTOCK,WINDSOR,05091,8024572522,,,1
498490.796217168,125031.958228868,48,F.H. GILLINGHAM & SONS GENERAL STORE,0.18,Food Establishment,Grocery,,16 ELM STREET,WOODSTOCK,WINDSOR,05091,,http://www.gillinghams.com/,https://www.facebook.com/pages/F-H-Gillingham-Sons/143774638973661?ref=sgm,1
498498.871802462,125054.176609699,49,VILLAGE BUTCHER,0.18,Food Establishment,Convenience Store,,18 ELM ST,WOODSTOCK,WINDSOR,05091,8024572756,https://www.villagebutchervt.com/,,1
498862.064957236,125154.095985798,50,CHARLESTON HOUSE,0.189,Food Establishment,B&B,,21 PLEASANT ST,WOODSTOCK,WINDSOR,05091,8024573843,,,1
498490.803722531,125065.288519136,52,PRINCE AND THE PAUPER,0.735,Food Establishment,Restaurant,,24 ELM ST,WOODSTOCK,WINDSOR,05091,,http://www.princeandpauper.com/,https://www.facebook.com/PrinceandthePauper,1
498523.076202817,125020.840940869,55,BENTLEYS RESTAURANT,1.47,Food Establishment,Restaurant,,3 ELM ST,WOODSTOCK,WINDSOR,05091,8024573232,http://www.bentleysrestaurant.com/,,1
498482.609916281,124520.895820159,57,1830 SHIRE TOWN INN THE,0.105,Food Establishment,Restaurant,,31 SOUTH ST,WOODSTOCK,WINDSOR,05091,(802) 457-1830,,,1
498555.351506016,124987.503616801,58,MOUNTAIN CREAMERY,0.4725,Food Establishment,Restaurant,,33 CENTRAL ST,WOODSTOCK,WINDSOR,05091,8024571715,http://www.mountaincreameryvt.com/,,1
499047.679252436,125109.626646593,59,MAC'S WOODSTOCK MARKET,0.72,Food Establishment,Bakery,,37 PLEASANT ST,WOODSTOCK,WINDSOR,05091,8027757707,,,1
499515.791588298,125420.659294971,60,TAFTSVILLE COUNTRY STORE,0.18,Food Establishment,Grocery,,404 WOODSTOCK ROAD,WOODSTOCK,WINDSOR,05073,,http://www.taftsville.com/,,1
499096.106836572,125142.950235182,61,VILLAGE INN OF WOODSTOCK,0.735,Food Establishment,B&B,,41 PLEASANT ST,WOODSTOCK,WINDSOR,05091,8029928230,,,1
499136.460641491,125154.055012821,62,CANTERBURY HOUSE BED & BREAKFAST,0.168,Food Establishment,Restaurant,,43 PLEASANT ST,WOODSTOCK,WINDSOR,05091,(802) 457-3077,,,1
496012.240510726,123555.333002886,63,THE JACKSON HOUSE INN,0.4725,Food Establishment,B&B,,43 SENIOR  LN,WOODSTOCK,WINDSOR,05091,8024572065,,,1
499418.936419703,125265.125565384,64,Cumberland Farms,0.26,Food Establishment,Convenience Store,,433 WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8024579147,http://www.cumberlandfarms.com/,,1
499685.283317674,125820.613036548,67,WORTHY KITCHEN,0.05,Food Establishment,Restaurant,,442 WOODSTOCK RD,WOODSTOCK,WINDSOR,05031,8022990128,,,1
491869.018122941,121837.015861389,68,DEER BROOK INN,0.105,Food Establishment,B&B,,4548 W WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8026723713,,,1
499572.285406109,125465.095865926,70,WOODSTOCK TERRACE,0.2205,Nursing/Assisted Living,Residential Facility,,456 WOODSTOCK ROAD EAST,WOODSTOCK,WINDSOR,05091,(802) 457-2228,,,1
491739.840424531,121848.283722136,71,WHITE COTTAGE SNACK BAR,1.029,Food Establishment,Restaurant,,462 WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8024573455,,https://www.facebook.com/pages/White-Cottage-Snack-Bar/115706228485281,1
497342.143547914,118399.621414843,72,KEDRON VALLEY INN,1.0185,Food Establishment,B&B,,4778 SOUTH RD,SOUTH WOODSTOCK,WINDSOR,05071,8024571473,http://www.kedronvalleyinn.com/,,1
498611.853043222,125020.821965638,73,PI BRICK OVEN TRATTORIA,0.315,Food Establishment,Restaurant,,49 CENTRAL STREET,WOODSTOCK,WINDSOR,05091,,,,1
494260.075907292,123023.320406543,74,WOODSTOCK CHEESECAKE COMPANY,0.13,Food Establishment,Bakery,,492 WESTERDALE ROAD,WOODSTOCK,WINDSOR,05091,(802) 457-4594,,,1
502437.057083018,125765.498281499,75,WOODSTOCK SR. UHSD 4,0.0665,School,School,,4961 WOODSTOCK ROAD,WOODSTOCK,WINDSOR,05091,(802) 457-1317,,,1
502437.057083018,125765.498281499,76,WOODSTOCK UNION MIDDLE SCHOOL,0.05256,School,School,,4961 WOODSTOCK ROAD,WOODSTOCK,WINDSOR,05091,(802) 457-1330,,,1
491133.302580402,121126.904379906,77,FARMHOUSE INN AT ROBINSON FARM,0.189,Food Establishment,Lodging,,5250 WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8026725433,http://www.farmhouseinnvt.com/,,1
499661.074904081,125831.724327741,78,LINCOLN INN & REST AT THE COVERED BRIDGE,0.6615,Food Establishment,Lodging,,2709 W WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8022812094,http://www.lincolninn.com/,,1
499192.961897899,125220.708566855,79,HEART ROCK KITCHEN,0.05,Food Establishment,Restaurant,,21710 Maxham Meadow Way STE 101D,WOODSTOCK,WINDSOR,05091,8022991560,,,1
490486.61576318,120661.16804815,81,WOODBRIDGE INN OF WOODSTOCK,0.126,Food Establishment,B&B,,5763 W WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8023960077,,,1
498700.640653331,125076.354650077,83,THE DAILY CATCH,,Food Establishment,Restaurant,Bread/related products,61 CENTRAL ST,WOODSTOCK,WINDSOR,05091,6177192588,,,1
499314.00965285,125142.924388974,86,ANGKOR WAT,0.126,Food Establishment,Restaurant,,61 PLEASANT ST,WOODSTOCK,WINDSOR,05091,8024579029,,,1
497828.89116225,124676.616936685,87,THE WOODSTOCKER B & B,0.189,Food Establishment,B&B,,61 RIVER ST,WOODSTOCK,WINDSOR,05091,8024573896,,,1
499467.356618712,125242.901341265,88,PIZZA CHEF OF WOODSTOCK,0.525,Food Establishment,Restaurant,,450 WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8024571444,http://www.pizzachef.com/,,1
498611.887560185,125187.473431542,89,MAPLEFIELDS AT WOODSTOCK,0.21,Food Establishment,Restaurant,,66 PLEASANT ST,WOODSTOCK,WINDSOR,05091,8025248710,,,1
498603.78705033,125043.043834985,90,MON VERT CAFE,0.1575,Food Establishment,Restaurant,,28 Central  ST,WOODSTOCK,WINDSOR,05091,8024577143,,,1
498740.997602255,125098.567143078,91,MELAZA CARIBBEAN BISTRO,0.8085,Food Establishment,Restaurant,,71 CENTRAL ST,WOODSTOCK,WINDSOR,05037,8023458977,,,1
498773.283782176,125120.78135216,93,WILLIAM WINAND CHOCOLATIER,0.603636177141831,Food Manufacturer,Sweets,,73 CENTRAL ST,WOODSTOCK,WINDSOR,05091,(802) 457-3688,,,1
497748.165866743,124632.203205571,94,HOMESTEAD,0.12075,Nursing/Assisted Living,Residential Facility,,73 RIVER STREET,WOODSTOCK,WINDSOR,05091,(802) 457-1310,,,1
497748.165866743,124632.203205571,95,MERTENS HOUSE,0.0735,Nursing/Assisted Living,Residential Facility,,73 RIVER STREET,WOODSTOCK,WINDSOR,05091,,,,1
496609.850003371,124054.957728681,96,WOODSTOCK FARMERS' MARKET,0.18,Food Establishment,Bakery,,979 W WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8024573658,http://www.woodstockfarmersmarket.com/,https://www.facebook.com/pages/Woodstock-Farmers-Market/125860250802597,1
497948.068428018,118499.398796161,97,KEDRON SUGAR MAKERS,,Food Manufacturer,Sweets,,P.O. BOX 111,WOODSTOCK,WINDSOR,05091,(802) 4573-015,,,1
496067.542390539,121499.939896908,98,MAPLE CREST FARM,0,Food Manufacturer,Food Processor,,P.O. BOX 733,WOODSTOCK,WINDSOR,05091,(802) 4571-882,,,1
487206.96866564,158030.861416846,100,SWEET SERENITY BED & BREAKFAST,0.063,Food Establishment,Restaurant,,40 RANDOLPH AV,RANDOLPH,ORANGE,05060,(802) 728-9590,,,1
486723.898950237,157420.72125819,101,GIFFORD MEDICAL CENTER,0.273,Food Establishment,Hospital,,44 SOUTH MAIN ST,RANDOLPH,ORANGE,05060,8027282283,,,1
486723.898950237,157420.72125819,102,MENIG EXTENDED CARE,0.1575,Nursing/Assisted Living,Residential Facility,,44 SOUTH MAIN STREET,RANDOLPH,ORANGE,05060,,,,1
486741.116793021,157998.444079964,103,PERFECT PEAR CAFE,0.26,Food Establishment,Restaurant,,48 MAIN STREET,RANDOLPH,ORANGE,05060,(802) 222-5912,http://theperfectpearcafe.com/,,1
487359.701699351,158108.343635144,104,MONTAGUE GOLF CLUB,0.525,Food Establishment,Restaurant,,48 RANDOLPH AVE,RANDOLPH,ORANGE,05060,8022910993,,,1
487263.141456984,158008.531879838,105,GOLF COURSE,0.13,Food Establishment,Restaurant,Bars/Pubs,50 RANDOLPH AV,RANDOLPH,ORANGE,05060,,,,1
487263.141456984,158008.531879838,106,SAAP,1.05,Food Establishment,Restaurant,,50 RANDOLPH AVE,RANDOLPH,ORANGE,05060,8025225262,,,1
487133.743492741,157542.13158322,107,PLEASANT STREET HOME,0.01575,Nursing/Assisted Living,Residential Facility,,59 SOUTH PLEASANT STREET,RANDOLPH,ORANGE,05060,,,,1
488202.48897522,157862.355437704,108,THREE STALLION INN,1.68,Food Establishment,Restaurant,,665 STOCK FARM ROAD,RANDOLPH,ORANGE,05060,(802) 728-5575,http://www.threestallioninn.com,,1
486718.181342811,158576.247755324,109,Cumberland Farms,0.18,Food Establishment,Convenience Store,,7 CENTRAL ST,RANDOLPH,ORANGE,05060,5082701504,http://www.cumberlandfarms.com/,,1
486885.276168286,157798.164553127,110,SHADY MAPLES,0.063,Food Establishment,Restaurant,,8 PROSPECT AV,RANDOLPH,ORANGE,05060,(802) 728-9923,,,1
485998.004600044,159777.689884178,111,LELAK AND TOMASKO BAKERY,0.13,Food Establishment,Bakery,,804 PARTRIDGE HILL RD,RANDOLPH,ORANGE,05060,(802) 728-6657,,,1
487395.65577114,155897.246001027,112,RANDOLPH FARM STAND,0.18,Food Establishment,Grocery,Farmers' Market,839 ROUTE 12 SOUTH,RANDOLPH,ORANGE,05060,,,,1
487395.65577114,155897.246001027,113,CHEFS MARKET,0.05,Food Establishment,Restaurant,,2 Salisbury  ST,RANDOLPH,ORANGE,05060,8027284202,,,1
489957.18147289,160459.375845962,115,RINKERS SNAK SHOP,0.18,Food Establishment,Grocery,,EXIT 4 I89 - 1917 VT ROUTE 66,RANDOLPH,ORANGE,05060,,,,1
511034.364917122,148305.908058563,116,CAFE 232 LLC,0.147,Food Establishment,Restaurant,,232 ROUTE 132,SOUTH STRAFFORD,ORANGE,05070,,,,1
511227.517133301,148228.457434643,117,COBURN'S GENERAL STORE,0.18,Food Establishment,Grocery,,216 VT ROUTE 132,STRAFFORD,ORANGE,05070,,http://www.vaics.org/stores?store=40,,1
511078.005413291,155894.523068037,118,MINDYS MAPLE FARM,,Food Manufacturer,Food Processor,,38 KENDALL RD,STRAFFORD,ORANGE,05072,(802) 7654-219,,,1
506889.325213086,151322.392854616,119,STRAFFORD ORGANIC CREAMERY,,Food Manufacturer,Dairy,Creamery,61 ROCKBOTTOM RD,STRAFFORD,ORANGE,05072,(802) 7654-180,,,1
509822.89474315,151748.282980081,120,STONE SOUP,0.2625,Food Establishment,Restaurant,,7 BROOK RD,STRAFFORD,ORANGE,05072,8027654301,,,1
510801.113201172,148316.635845245,121,NEWTON ELEMENTARY,0.075145,Food Establishment,School,,243 VT ROUTE 132,STRAFFORD,ORANGE,05072,8027654351,,,1
523631.274500024,147694.307031106,122,BAREFOOT GOURMET LTD,0.05,Food Establishment,Home-based Business,,1255 LATHAM RD,THETFORD,ORANGE,05043,8022812130,http://barefoot-gourmet.com/,,1
525045.794539957,145855.113869347,125,ISABELLS CAFE,0.4515,Food Establishment,Restaurant,,3052 ROUTE 5,THETFORD,ORANGE,05074,8023334732,,,1
524997.437802466,145877.153403823,126,WINGS MARKETS,0.72,Food Establishment,Convenience Store,,3073 VT ROUTE 5,THETFORD,ORANGE,05043,8027852163,,https://www.facebook.com/pages/Wings-Supermarkets/141265545914310,1
525009.713898415,149032.625056569,127,HUGGETTS MART,0.18,Food Establishment,Convenience Store,,2930 ROUTE 5,THETFORD,ORANGE,05043,8027852116,,,1
519190.025549094,153713.097227937,128,BAKERS STORE,0.05,Food Establishment,Caterer,,7788 VT ROUTE 113,THETFORD,ORANGE,05058,8027852539,,http://www.facebook.com/pages/Bakers-General-Store/184586938420,1
520977.783530851,147429.869384811,130,CAMP FARNSWORTH,1.575,Food Establishment,Camp,,128 Camp Farnsworth Road,Fairlee,ORANGE,05045,,,,1
521486.423928513,154308.997301352,131,CAMP BILLINGS,0.92925,Food Establishment,Camp,,LAKE FAIRLEE,THETFORD,ORANGE,05672,,,,1
521567.56052714,146631.7910391,133,THETFORD ELEMENTARY,0.11865,Food Establishment,School,,2689 ROUTE 113,THETFORD,ORANGE,05074,8027852426,,,1
521625.713245162,146065.339470785,134,THETFORD ACADEMY,0.11865,Food Establishment,School,,304 ACADEMY RD,THETFORD,ORANGE,05074,8027854805,,,1
530890.42352873,164112.604473548,139,RED KITE CANDY,0,Food Manufacturer,Sweets,,226 INDUSTRIAL DR UNIT B,BRADFORD,ORANGE,05033,8024493400,,,1
518740.770929229,144878.876142357,140,POST AND BEAM BAKERY,0.13,Food Establishment,Home-based Business,,582 ROUTE 132,THETFORD,ORANGE,05075,8027852842,,,1
522915.990377786,184580.180054623,142,VERMONT CAKES SPECIALTY CAKES BY CHRISTINE,0.13,Food Establishment,Bakery,,10 CLARK RD,TOPSHAM,ORANGE,05076,(802) 584-3437,,,1
517329.74432589,176663.062302495,143,WAITS RIVER COUNTRY STORE & DELI,0.18,Food Establishment,Convenience Store,,149 VT ROUTE 25,TOPSHAM,ORANGE,05086,8024399510,http://vaics.org/stores?store=43,,1
515248.935639473,179546.805776189,144,WEST TOPSHAM COUNTRY STORE,0.18,Food Establishment,Grocery,,486 ROUTE 25,TOPSHAM,ORANGE,05076,(802) 439-6400,,,1
519118.890309496,175523.564522262,145,WAITS RIVER VALLEY #36,0.105555,Food Establishment,School,,6 WAITS RIVER VALLEY RD,EAST CORINTH,ORANGE,05076,8024395534,,,1
501677.642566373,161140.844720885,146,COUNTRY CATERING BY LOIS,0.05,Food Establishment,Caterer,,116 HANSON RD,TUNBRIDGE,ORANGE,05077,(802) 889-5679,,,1
500699.053315813,154452.044625046,148,TUNBRIDGE STORE ,0.18,Food Establishment,Convenience Store,,304 VT ROUTE 110,TUNBRIDGE,ORANGE,05077,802-889-5525,,,1
501694.738412255,157063.223760781,149,NORTH TUNBRIDGE GENERAL STORE,0.055,Food Establishment,Caterer,,494 ROUTE 110,TUNBRIDGE,ORANGE,05038,(802) 889-3312,,,1
502023.939311631,157418.857236939,150,TUNBRIDGE CENTRAL SCHOOL,0.05394,Food Establishment,School,,523 VT ROUTE 110,TUNBRIDGE,ORANGE,05077,8028893310,,,1
502569.130260469,159874.508148667,151,WELLSPRING FOOD COMMITTEE,0.05,Food Establishment,Caterer,,693 VT ROUTE 110,TUNBRIDGE,ORANGE,05077,,,,1
